Data de Cancelamento,Nome da Academia,Cidade,Sexo,Esporte,Justificativa do Cancelamento
2023-01-06,Avengers,Matosinhos,F,Musculação,Falta de interesse
2023-01-07,Avengers,Espinho,M,Musculação,Problemas financeiros
2023-01-11,Avengers,Setubal,F,Musculação,Falta de interesse
2023-01-16,Avengers,Espinho,M,Ciclyn,Falta de interesse
2023-01-17,Avengers,Setubal,F,Yoga,Problemas financeiros
2023-01-17,Avengers,Setubal,F,Yoga,Problemas financeiros
2023-01-25,Avengers,Setubal,M,Musculação,Falta de interesse
2023-01-26,Avengers,Espinho,F,Ciclyn,Falta de interesse
2023-01-27,Avengers,Gondomar,M,Musculação,Falta de interesse
2023-01-28,Avengers,Gondomar,F,Yoga,Falta de interesse
2023-01-29,Avengers,Setubal,M,Musculação,Problemas financeiros
2023-01-30,Avengers,Espinho,F,Ciclyn,Falta de interesse
2023-01-31,Avengers,Setubal,M,Musculação,Problemas financeiros
2023-02-01,Avengers,Gondomar,M,Yoga,Falta de interesse
2023-02-02,Avengers,Gondomar,F,Musculação,Problemas financeiros
2023-02-07,Avengers,Gondomar,F,Yoga,Mudança de cidade
2023-02-13,Avengers,Setubal,F,Musculação,Falta de interesse
2023-02-17,Avengers,Matosinhos,M,Ciclyn,Problemas financeiros
2023-02-21,Avengers,Gondomar,F,Yoga,Mudança de cidade
2023-02-23,Avengers,Matosinhos,M,Ciclyn,Mudança de cidade
2023-02-23,Avengers,Setubal,M,Ciclyn,Mudança de cidade
2023-03-04,Avengers,Espinho,F,Ciclyn,Problemas financeiros
2023-03-05,Avengers,Setubal,F,Yoga,Falta de interesse
2023-03-06,Avengers,Matosinhos,F,Ciclyn,Falta de interesse
2023-03-08,Avengers,Matosinhos,F,Yoga,Problemas financeiros
2023-03-12,Avengers,Espinho,F,Yoga,Falta de interesse
2023-03-14,Avengers,Setubal,F,Ciclyn,Problemas financeiros
2023-03-16,Avengers,Setubal,M,Yoga,Mudança de cidade
2023-03-18,Avengers,Matosinhos,M,Musculação,Falta de interesse
2023-03-24,Avengers,Setubal,F,Ciclyn,Mudança de cidade
2023-03-30,Avengers,Gondomar,M,Ciclyn,Falta de interesse
2023-04-04,Avengers,Setubal,M,Musculação,Falta de interesse
2023-04-05,Avengers,Matosinhos,M,Ciclyn,Falta de interesse
2023-04-06,Avengers,Gondomar,M,Ciclyn,Mudança de cidade
2023-04-06,Avengers,Matosinhos,M,Ciclyn,Falta de interesse
2023-04-10,Avengers,Espinho,F,Ciclyn,Problemas financeiros
2023-04-13,Avengers,Setubal,F,Ciclyn,Falta de interesse
2023-04-17,Avengers,Matosinhos,F,Yoga,Mudança de cidade
2023-04-19,Avengers,Gondomar,M,Yoga,Falta de interesse
