Data de Cancelamento,Nome da Academia,Cidade,Sexo,Esporte,Justificativa do Cancelamento
2023-01-01,Fitness Hut,Setubal,F,Ciclyn,Mudança de cidade
2023-01-01,Fitness Hut,Setubal,M,Ciclyn,Mudança de cidade
2023-01-06,Fitness Hut,Gondomar,F,Ciclyn,Problemas financeiros
2023-01-08,Fitness Hut,Gondomar,F,Yoga,Falta de interesse
2023-01-09,Fitness Hut,Matosinhos,M,Yoga,Falta de interesse
2023-01-10,Fitness Hut,Matosinhos,F,Musculação,Falta de interesse
2023-01-10,Fitness Hut,Espinho,M,Yoga,Falta de interesse
2023-01-11,Fitness Hut,Matosinhos,M,Ciclyn,Mudança de cidade
2023-01-11,Fitness Hut,Matosinhos,M,Musculação,Falta de interesse
2023-01-13,Fitness Hut,Gondomar,F,Ciclyn,Falta de interesse
2023-01-17,Fitness Hut,Setubal,F,Ciclyn,Mudança de cidade
2023-01-18,Fitness Hut,Matosinhos,F,Yoga,Mudança de cidade
2023-01-19,Fitness Hut,Setubal,M,Musculação,Problemas financeiros
2023-01-19,Fitness Hut,Gondomar,M,Musculação,Problemas financeiros
2023-01-21,Fitness Hut,Espinho,F,Musculação,Mudança de cidade
2023-01-28,Fitness Hut,Setubal,M,Musculação,Mudança de cidade
2023-01-31,Fitness Hut,Gondomar,F,Ciclyn,Problemas financeiros
2023-01-31,Fitness Hut,Gondomar,F,Yoga,Falta de interesse
2023-02-05,Fitness Hut,Espinho,F,Musculação,Mudança de cidade
2023-02-06,Fitness Hut,Setubal,F,Musculação,Problemas financeiros
2023-02-10,Fitness Hut,Gondomar,F,Yoga,Mudança de cidade
2023-02-13,Fitness Hut,Matosinhos,M,Ciclyn,Problemas financeiros
2023-02-21,Fitness Hut,Espinho,M,Yoga,Problemas financeiros
2023-02-26,Fitness Hut,Setubal,F,Ciclyn,Falta de interesse
2023-03-05,Fitness Hut,Espinho,F,Musculação,Falta de interesse
2023-03-05,Fitness Hut,Espinho,M,Ciclyn,Falta de interesse
2023-03-11,Fitness Hut,Setubal,F,Musculação,Falta de interesse
2023-03-17,Fitness Hut,Setubal,M,Musculação,Problemas financeiros
2023-03-19,Fitness Hut,Matosinhos,F,Yoga,Problemas financeiros
