Data de Cancelamento,Nome da Academia,Cidade,Sexo,Esporte,Justificativa do Cancelamento
2023-01-01,Fitness Up,Gondomar,M,Yoga,Problemas financeiros
2023-01-03,Fitness Up,Gondomar,M,Musculação,Problemas financeiros
2023-01-03,Fitness Up,Setubal,M,Yoga,Mudança de cidade
2023-01-04,Fitness Up,Matosinhos,F,Yoga,Falta de interesse
2023-01-08,Fitness Up,Gondomar,M,Ciclyn,Falta de interesse
2023-01-11,Fitness Up,Matosinhos,F,Ciclyn,Mudança de cidade
2023-01-11,Fitness Up,Matosinhos,M,Ciclyn,Falta de interesse
2023-01-12,Fitness Up,Espinho,M,Ciclyn,Problemas financeiros
2023-01-13,Fitness Up,Gondomar,M,Yoga,Falta de interesse
2023-01-15,Fitness Up,Gondomar,M,Musculação,Problemas financeiros
2023-01-15,Fitness Up,Setubal,M,Yoga,Mudança de cidade
2023-01-16,Fitness Up,Gondomar,F,Yoga,Falta de interesse
2023-01-17,Fitness Up,Setubal,F,Yoga,Falta de interesse
2023-01-17,Fitness Up,Matosinhos,M,Musculação,Mudança de cidade
2023-01-20,Fitness Up,Matosinhos,M,Musculação,Problemas financeiros
2023-01-20,Fitness Up,Gondomar,F,Yoga,Falta de interesse
2023-01-24,Fitness Up,Gondomar,M,Ciclyn,Problemas financeiros
2023-01-31,Fitness Up,Gondomar,M,Ciclyn,Problemas financeiros
2023-02-02,Fitness Up,Setubal,F,Ciclyn,Falta de interesse
2023-02-02,Fitness Up,Matosinhos,M,Ciclyn,Mudança de cidade
2023-02-03,Fitness Up,Espinho,M,Musculação,Problemas financeiros
2023-02-05,Fitness Up,Espinho,F,Yoga,Problemas financeiros
2023-02-07,Fitness Up,Matosinhos,M,Musculação,Mudança de cidade
2023-02-07,Fitness Up,Espinho,M,Ciclyn,Problemas financeiros
2023-02-08,Fitness Up,Espinho,F,Musculação,Falta de interesse
2023-02-10,Fitness Up,Matosinhos,M,Ciclyn,Falta de interesse
2023-02-13,Fitness Up,Espinho,F,Yoga,Problemas financeiros
2023-02-14,Fitness Up,Matosinhos,M,Ciclyn,Falta de interesse
2023-02-14,Fitness Up,Gondomar,F,Musculação,Falta de interesse
2023-02-16,Fitness Up,Espinho,F,Ciclyn,Falta de interesse
2023-02-18,Fitness Up,Espinho,F,Ciclyn,Mudança de cidade
2023-02-19,Fitness Up,Espinho,M,Yoga,Problemas financeiros
