Data de Cancelamento,Nome da Academia,Cidade,Sexo,Esporte,Justificativa do Cancelamento
2023-01-03,Gym Trend,Matosinhos,M,Musculação,Mudança de cidade
2023-01-13,Gym Trend,Matosinhos,M,Musculação,Mudança de cidade
2023-01-30,Gym Trend,Gondomar,M,Musculação,Problemas financeiros
2023-01-30,Gym Trend,Gondomar,F,Yoga,Falta de interesse
2023-02-02,Gym Trend,Setubal,F,Ciclyn,Falta de interesse
2023-02-02,Gym Trend,Gondomar,M,Yoga,Problemas financeiros
2023-02-25,Gym Trend,Matosinhos,F,Musculação,Problemas financeiros
2023-02-25,Gym Trend,Espinho,F,Ciclyn,Falta de interesse
2023-02-26,Gym Trend,Espinho,M,Musculação,Problemas financeiros
2023-02-27,Gym Trend,Gondomar,F,Ciclyn,Falta de interesse
2023-02-27,Gym Trend,Gondomar,F,Ciclyn,Problemas financeiros
2023-03-03,Gym Trend,Matosinhos,M,Musculação,Falta de interesse
2023-03-09,Gym Trend,Gondomar,M,Yoga,Falta de interesse
2023-03-12,Gym Trend,Espinho,F,Yoga,Falta de interesse
2023-03-14,Gym Trend,Gondomar,M,Ciclyn,Mudança de cidade
2023-03-22,Gym Trend,Gondomar,M,Musculação,Problemas financeiros
2023-03-25,Gym Trend,Matosinhos,M,Yoga,Mudança de cidade
2023-03-26,Gym Trend,Gondomar,F,Yoga,Mudança de cidade
2023-04-02,Gym Trend,Setubal,F,Ciclyn,Problemas financeiros
2023-04-14,Gym Trend,Espinho,F,Musculação,Problemas financeiros
2023-04-20,Gym Trend,Matosinhos,F,Ciclyn,Problemas financeiros
2023-04-22,Gym Trend,Gondomar,M,Ciclyn,Falta de interesse
2023-04-22,Gym Trend,Espinho,F,Musculação,Falta de interesse
2023-05-10,Gym Trend,Gondomar,F,Yoga,Problemas financeiros
2023-05-13,Gym Trend,Gondomar,F,Musculação,Problemas financeiros
2023-05-22,Gym Trend,Gondomar,F,Ciclyn,Falta de interesse
2023-05-26,Gym Trend,Setubal,M,Yoga,Falta de interesse
2023-05-26,Gym Trend,Setubal,F,Musculação,Mudança de cidade
2023-05-26,Gym Trend,Gondomar,M,Musculação,Problemas financeiros
2023-05-31,Gym Trend,Setubal,F,Yoga,Mudança de cidade
2023-06-07,Gym Trend,Espinho,F,Yoga,Mudança de cidade
2023-06-07,Gym Trend,Matosinhos,M,Ciclyn,Mudança de cidade
2023-06-14,Gym Trend,Gondomar,F,Yoga,Mudança de cidade
2023-06-23,Gym Trend,Gondomar,M,Ciclyn,Mudança de cidade
2023-06-23,Gym Trend,Setubal,F,Yoga,Mudança de cidade
2023-06-27,Gym Trend,Espinho,F,Yoga,Problemas financeiros
2023-07-05,Gym Trend,Gondomar,M,Yoga,Falta de interesse
2023-07-16,Gym Trend,Setubal,F,Ciclyn,Mudança de cidade
2023-07-22,Gym Trend,Gondomar,M,Musculação,Problemas financeiros
