Data de Cancelamento,Nome da Academia,Cidade,Sexo,Esporte,Justificativa do Cancelamento
2023-01-02,Power Girls,Espinho,F,Yoga,Falta de interesse
2023-01-02,Power Girls,Espinho,F,Musculação,Problemas financeiros
2023-01-02,Power Girls,Matosinhos,F,Ciclyn,Mudança de cidade
2023-01-04,Power Girls,Espinho,F,Yoga,Falta de interesse
2023-01-09,Power Girls,Setubal,M,Yoga,Falta de interesse
2023-01-10,Power Girls,Matosinhos,F,Musculação,Problemas financeiros
2023-01-11,Power Girls,Setubal,M,Ciclyn,Falta de interesse
2023-01-14,Power Girls,Matosinhos,F,Yoga,Falta de interesse
2023-01-14,Power Girls,Gondomar,M,Musculação,Mudança de cidade
2023-01-17,Power Girls,Setubal,F,Ciclyn,Falta de interesse
2023-01-18,Power Girls,Gondomar,F,Musculação,Mudança de cidade
2023-01-18,Power Girls,Gondomar,M,Yoga,Mudança de cidade
2023-01-22,Power Girls,Gondomar,M,Musculação,Problemas financeiros
2023-01-26,Power Girls,Gondomar,M,Ciclyn,Falta de interesse
2023-01-30,Power Girls,Matosinhos,M,Musculação,Falta de interesse
2023-01-30,Power Girls,Espinho,M,Ciclyn,Mudança de cidade
2023-02-05,Power Girls,Matosinhos,F,Yoga,Falta de interesse
2023-02-06,Power Girls,Espinho,M,Yoga,Problemas financeiros
2023-02-07,Power Girls,Gondomar,M,Yoga,Problemas financeiros
2023-02-08,Power Girls,Matosinhos,M,Ciclyn,Mudança de cidade
2023-02-10,Power Girls,Setubal,M,Yoga,Problemas financeiros
2023-02-12,Power Girls,Gondomar,M,Yoga,Mudança de cidade
2023-02-18,Power Girls,Setubal,F,Yoga,Problemas financeiros
2023-02-19,Power Girls,Gondomar,M,Yoga,Problemas financeiros
2023-02-20,Power Girls,Matosinhos,F,Musculação,Falta de interesse
2023-02-21,Power Girls,Espinho,M,Musculação,Problemas financeiros
2023-02-24,Power Girls,Espinho,F,Yoga,Falta de interesse
2023-02-25,Power Girls,Setubal,F,Musculação,Mudança de cidade
2023-02-26,Power Girls,Matosinhos,F,Ciclyn,Problemas financeiros
2023-02-27,Power Girls,Matosinhos,F,Musculação,Falta de interesse
2023-02-27,Power Girls,Setubal,F,Yoga,Problemas financeiros
2023-03-02,Power Girls,Espinho,F,Ciclyn,Mudança de cidade
2023-03-03,Power Girls,Matosinhos,F,Musculação,Mudança de cidade
2023-03-05,Power Girls,Espinho,F,Yoga,Problemas financeiros
2023-03-08,Power Girls,Gondomar,F,Yoga,Problemas financeiros
2023-03-12,Power Girls,Matosinhos,M,Ciclyn,Problemas financeiros
2023-03-13,Power Girls,Setubal,F,Yoga,Mudança de cidade
2023-03-15,Power Girls,Matosinhos,M,Yoga,Mudança de cidade
2023-03-17,Power Girls,Espinho,F,Yoga,Falta de interesse
2023-03-17,Power Girls,Gondomar,M,Musculação,Problemas financeiros
2023-03-21,Power Girls,Gondomar,F,Ciclyn,Falta de interesse
2023-03-23,Power Girls,Matosinhos,F,Yoga,Mudança de cidade
