Data de Inscrição,Nome da Academia,Cidade,Idade do Inscrito,Sexo,Esporte,Status Civil
2023-01-01,Avengers,Espinho,27,F,Ciclyn,Casado(a)
2023-01-01,Avengers,Gondomar,20,F,Ciclyn,Solteiro(a)
2023-01-01,Avengers,Matosinhos,34,F,Yoga,Divorciado(a)
2023-01-01,Avengers,Espinho,22,M,Musculação,Solteiro(a)
2023-01-01,Avengers,Setubal,30,F,Ciclyn,Solteiro(a)
2023-01-01,Avengers,Setubal,22,F,Musculação,Solteiro(a)
2023-01-01,Avengers,Gondomar,33,F,Ciclyn,Solteiro(a)
2023-01-01,Avengers,Espinho,19,F,Musculação,Solteiro(a)
2023-01-02,Avengers,Matosinhos,25,M,Musculação,Solteiro(a)
2023-01-02,Avengers,Espinho,20,F,Musculação,Casado(a)
2023-01-02,Avengers,Espinho,28,M,Yoga,Casado(a)
2023-01-02,Avengers,Gondomar,33,M,Yoga,Casado(a)
2023-01-02,Avengers,Espinho,29,M,Ciclyn,Solteiro(a)
2023-01-02,Avengers,Setubal,22,F,Musculação,Solteiro(a)
2023-01-02,Avengers,Gondomar,18,M,Yoga,Solteiro(a)
2023-01-03,Avengers,Setubal,19,F,Yoga,Solteiro(a)
2023-01-03,Avengers,Espinho,29,M,Ciclyn,Casado(a)
2023-01-03,Avengers,Matosinhos,29,F,Ciclyn,Divorciado(a)
2023-01-03,Avengers,Gondomar,31,M,Ciclyn,Solteiro(a)
2023-01-03,Avengers,Matosinhos,33,F,Musculação,Casado(a)
2023-01-03,Avengers,Gondomar,33,F,Yoga,Casado(a)
2023-01-03,Avengers,Espinho,25,F,Ciclyn,Divorciado(a)
2023-01-03,Avengers,Matosinhos,27,F,Ciclyn,Solteiro(a)
2023-01-04,Avengers,Matosinhos,27,F,Ciclyn,Casado(a)
2023-01-04,Avengers,Setubal,24,M,Ciclyn,Casado(a)
2023-01-04,Avengers,Matosinhos,24,M,Ciclyn,Divorciado(a)
2023-01-04,Avengers,Espinho,34,F,Yoga,Casado(a)
2023-01-05,Avengers,Espinho,27,M,Yoga,Solteiro(a)
2023-01-05,Avengers,Espinho,19,F,Yoga,Solteiro(a)
2023-01-05,Avengers,Espinho,27,F,Musculação,Solteiro(a)
2023-01-05,Avengers,Espinho,30,F,Musculação,Casado(a)
2023-01-05,Avengers,Espinho,21,F,Ciclyn,Casado(a)
2023-01-05,Avengers,Espinho,18,M,Yoga,Solteiro(a)
2023-01-06,Avengers,Espinho,30,F,Musculação,Viúvo(a)
2023-01-06,Avengers,Matosinhos,26,F,Ciclyn,Solteiro(a)
2023-01-06,Avengers,Gondomar,21,M,Yoga,Solteiro(a)
2023-01-06,Avengers,Setubal,21,M,Yoga,Casado(a)
2023-01-06,Avengers,Setubal,20,M,Ciclyn,Casado(a)
2023-01-06,Avengers,Matosinhos,26,F,Ciclyn,Casado(a)
2023-01-06,Avengers,Setubal,27,M,Yoga,Solteiro(a)
2023-01-06,Avengers,Setubal,29,M,Ciclyn,Solteiro(a)
2023-01-07,Avengers,Espinho,20,F,Musculação,Casado(a)
2023-01-07,Avengers,Gondomar,26,M,Yoga,Casado(a)
2023-01-07,Avengers,Espinho,27,F,Musculação,Solteiro(a)
2023-01-07,Avengers,Setubal,23,F,Ciclyn,Solteiro(a)
2023-01-07,Avengers,Matosinhos,34,M,Musculação,Divorciado(a)
2023-01-07,Avengers,Espinho,22,M,Musculação,Casado(a)
2023-01-07,Avengers,Matosinhos,33,F,Ciclyn,Solteiro(a)
2023-01-08,Avengers,Gondomar,34,F,Musculação,Casado(a)
2023-01-08,Avengers,Gondomar,20,F,Yoga,Casado(a)
2023-01-08,Avengers,Setubal,31,M,Musculação,Solteiro(a)
2023-01-09,Avengers,Gondomar,20,F,Yoga,Solteiro(a)
2023-01-09,Avengers,Gondomar,25,F,Yoga,Solteiro(a)
2023-01-09,Avengers,Gondomar,34,F,Ciclyn,Solteiro(a)
2023-01-09,Avengers,Matosinhos,18,M,Musculação,Solteiro(a)
2023-01-09,Avengers,Matosinhos,20,F,Ciclyn,Solteiro(a)
2023-01-09,Avengers,Espinho,32,M,Musculação,Casado(a)
2023-01-09,Avengers,Gondomar,28,M,Yoga,Solteiro(a)
2023-01-09,Avengers,Setubal,29,M,Yoga,Casado(a)
2023-01-10,Avengers,Setubal,22,F,Musculação,Solteiro(a)
2023-01-10,Avengers,Matosinhos,20,M,Ciclyn,Solteiro(a)
2023-01-10,Avengers,Setubal,32,F,Musculação,Casado(a)
2023-01-10,Avengers,Matosinhos,22,M,Musculação,Viúvo(a)
2023-01-10,Avengers,Gondomar,26,M,Yoga,Solteiro(a)
2023-01-10,Avengers,Gondomar,28,F,Ciclyn,Solteiro(a)
2023-01-10,Avengers,Espinho,32,M,Musculação,Casado(a)
2023-01-10,Avengers,Gondomar,25,M,Yoga,Viúvo(a)
2023-01-10,Avengers,Matosinhos,20,F,Yoga,Casado(a)
2023-01-11,Avengers,Matosinhos,26,F,Ciclyn,Solteiro(a)
2023-01-11,Avengers,Setubal,23,M,Ciclyn,Casado(a)
2023-01-11,Avengers,Setubal,18,M,Ciclyn,Solteiro(a)
2023-01-12,Avengers,Espinho,22,M,Yoga,Divorciado(a)
2023-01-12,Avengers,Espinho,21,M,Ciclyn,Casado(a)
2023-01-12,Avengers,Espinho,23,F,Musculação,Casado(a)
2023-01-13,Avengers,Gondomar,23,M,Musculação,Casado(a)
2023-01-13,Avengers,Setubal,18,F,Ciclyn,Casado(a)
2023-01-13,Avengers,Gondomar,28,M,Yoga,Solteiro(a)
2023-01-13,Avengers,Matosinhos,25,F,Musculação,Solteiro(a)
2023-01-13,Avengers,Setubal,33,F,Yoga,Solteiro(a)
2023-01-14,Avengers,Matosinhos,34,F,Musculação,Solteiro(a)
2023-01-14,Avengers,Espinho,34,M,Ciclyn,Solteiro(a)
2023-01-14,Avengers,Gondomar,21,F,Yoga,Viúvo(a)
2023-01-14,Avengers,Gondomar,25,F,Yoga,Solteiro(a)
2023-01-14,Avengers,Matosinhos,25,M,Musculação,Solteiro(a)
2023-01-14,Avengers,Matosinhos,28,F,Ciclyn,Solteiro(a)
2023-01-14,Avengers,Matosinhos,34,F,Yoga,Solteiro(a)
2023-01-14,Avengers,Setubal,33,M,Musculação,Solteiro(a)
2023-01-14,Avengers,Gondomar,24,F,Musculação,Solteiro(a)
2023-01-14,Avengers,Espinho,27,F,Yoga,Casado(a)
2023-01-15,Avengers,Espinho,22,M,Yoga,Casado(a)
2023-01-15,Avengers,Espinho,29,M,Ciclyn,Solteiro(a)
2023-01-15,Avengers,Gondomar,28,F,Yoga,Casado(a)
2023-01-15,Avengers,Matosinhos,25,M,Musculação,Solteiro(a)
2023-01-15,Avengers,Espinho,27,M,Yoga,Casado(a)
2023-01-15,Avengers,Matosinhos,21,F,Yoga,Casado(a)
2023-01-15,Avengers,Setubal,23,F,Musculação,Casado(a)
2023-01-16,Avengers,Setubal,28,M,Musculação,Divorciado(a)
2023-01-16,Avengers,Gondomar,29,F,Musculação,Casado(a)
2023-01-16,Avengers,Matosinhos,29,M,Musculação,Casado(a)
2023-01-16,Avengers,Gondomar,18,F,Ciclyn,Casado(a)
2023-01-16,Avengers,Gondomar,25,F,Yoga,Viúvo(a)
2023-01-16,Avengers,Setubal,28,M,Ciclyn,Solteiro(a)
2023-01-16,Avengers,Setubal,28,M,Yoga,Solteiro(a)
2023-01-16,Avengers,Gondomar,34,F,Musculação,Solteiro(a)
2023-01-17,Avengers,Matosinhos,31,M,Ciclyn,Solteiro(a)
2023-01-17,Avengers,Setubal,34,M,Musculação,Casado(a)
2023-01-17,Avengers,Matosinhos,23,M,Ciclyn,Solteiro(a)
2023-01-18,Avengers,Gondomar,34,F,Yoga,Casado(a)
2023-01-18,Avengers,Setubal,18,M,Yoga,Casado(a)
2023-01-18,Avengers,Gondomar,26,M,Yoga,Viúvo(a)
2023-01-18,Avengers,Matosinhos,34,F,Ciclyn,Solteiro(a)
2023-01-18,Avengers,Gondomar,30,M,Ciclyn,Divorciado(a)
2023-01-18,Avengers,Gondomar,25,M,Musculação,Casado(a)
2023-01-18,Avengers,Espinho,19,M,Yoga,Divorciado(a)
2023-01-18,Avengers,Matosinhos,28,M,Musculação,Solteiro(a)
2023-01-19,Avengers,Gondomar,27,F,Musculação,Solteiro(a)
2023-01-19,Avengers,Espinho,19,F,Yoga,Solteiro(a)
2023-01-19,Avengers,Matosinhos,32,F,Ciclyn,Casado(a)
2023-01-20,Avengers,Gondomar,19,F,Ciclyn,Solteiro(a)
2023-01-20,Avengers,Setubal,26,F,Ciclyn,Solteiro(a)
2023-01-20,Avengers,Espinho,21,F,Ciclyn,Solteiro(a)
2023-01-20,Avengers,Gondomar,19,M,Yoga,Casado(a)
2023-01-21,Avengers,Setubal,25,F,Yoga,Solteiro(a)
2023-01-21,Avengers,Matosinhos,30,F,Ciclyn,Solteiro(a)
2023-01-21,Avengers,Setubal,18,F,Musculação,Solteiro(a)
2023-01-21,Avengers,Gondomar,25,M,Musculação,Casado(a)
2023-01-21,Avengers,Gondomar,18,F,Yoga,Casado(a)
2023-01-21,Avengers,Espinho,33,F,Musculação,Casado(a)
2023-01-21,Avengers,Matosinhos,27,F,Ciclyn,Viúvo(a)
2023-01-21,Avengers,Setubal,34,F,Yoga,Casado(a)
2023-01-21,Avengers,Matosinhos,27,F,Ciclyn,Solteiro(a)
2023-01-21,Avengers,Setubal,27,M,Yoga,Casado(a)
2023-01-22,Avengers,Espinho,25,M,Ciclyn,Casado(a)
2023-01-22,Avengers,Matosinhos,33,M,Yoga,Casado(a)
2023-01-22,Avengers,Setubal,27,F,Yoga,Solteiro(a)
2023-01-23,Avengers,Gondomar,28,M,Musculação,Viúvo(a)
2023-01-23,Avengers,Gondomar,29,F,Ciclyn,Casado(a)
2023-01-23,Avengers,Matosinhos,25,F,Yoga,Casado(a)
2023-01-23,Avengers,Gondomar,34,M,Musculação,Solteiro(a)
2023-01-23,Avengers,Setubal,27,M,Yoga,Solteiro(a)
2023-01-23,Avengers,Setubal,30,F,Ciclyn,Solteiro(a)
2023-01-23,Avengers,Setubal,23,M,Musculação,Viúvo(a)
