Data de Inscrição,Nome da Academia,Cidade,Idade do Inscrito,Sexo,Esporte,Status Civil
2023-01-01,Fitness Hut,Espinho,58,F,Yoga,Solteiro(a)
2023-01-01,Fitness Hut,Matosinhos,49,F,Musculação,Viúvo(a)
2023-01-01,Fitness Hut,Matosinhos,60,F,Ciclyn,Solteiro(a)
2023-01-01,Fitness Hut,Gondomar,50,F,Musculação,Casado(a)
2023-01-02,Fitness Hut,Gondomar,47,M,Yoga,Solteiro(a)
2023-01-02,Fitness Hut,Setubal,46,F,Yoga,Divorciado(a)
2023-01-02,Fitness Hut,Matosinhos,40,M,Musculação,Solteiro(a)
2023-01-02,Fitness Hut,Setubal,46,F,Ciclyn,Casado(a)
2023-01-02,Fitness Hut,Matosinhos,63,F,Ciclyn,Casado(a)
2023-01-02,Fitness Hut,Gondomar,58,F,Yoga,Solteiro(a)
2023-01-02,Fitness Hut,Setubal,43,M,Ciclyn,Solteiro(a)
2023-01-02,Fitness Hut,Espinho,53,M,Musculação,Casado(a)
2023-01-02,Fitness Hut,Gondomar,55,F,Musculação,Casado(a)
2023-01-03,Fitness Hut,Setubal,60,F,Yoga,Solteiro(a)
2023-01-03,Fitness Hut,Matosinhos,44,F,Ciclyn,Casado(a)
2023-01-03,Fitness Hut,Setubal,39,M,Ciclyn,Casado(a)
2023-01-03,Fitness Hut,Gondomar,58,F,Ciclyn,Casado(a)
2023-01-03,Fitness Hut,Espinho,63,F,Ciclyn,Solteiro(a)
2023-01-03,Fitness Hut,Setubal,53,M,Musculação,Viúvo(a)
2023-01-03,Fitness Hut,Espinho,55,M,Musculação,Divorciado(a)
2023-01-03,Fitness Hut,Setubal,59,M,Yoga,Casado(a)
2023-01-03,Fitness Hut,Matosinhos,47,M,Musculação,Casado(a)
2023-01-03,Fitness Hut,Espinho,62,M,Ciclyn,Solteiro(a)
2023-01-04,Fitness Hut,Gondomar,63,F,Musculação,Solteiro(a)
2023-01-04,Fitness Hut,Setubal,64,F,Yoga,Solteiro(a)
2023-01-04,Fitness Hut,Espinho,35,F,Yoga,Solteiro(a)
2023-01-04,Fitness Hut,Espinho,52,F,Musculação,Solteiro(a)
2023-01-04,Fitness Hut,Gondomar,59,M,Ciclyn,Solteiro(a)
2023-01-04,Fitness Hut,Gondomar,44,F,Musculação,Casado(a)
2023-01-05,Fitness Hut,Setubal,52,M,Ciclyn,Solteiro(a)
2023-01-05,Fitness Hut,Setubal,41,F,Yoga,Casado(a)
2023-01-05,Fitness Hut,Espinho,36,F,Musculação,Casado(a)
2023-01-05,Fitness Hut,Setubal,50,M,Yoga,Viúvo(a)
2023-01-05,Fitness Hut,Setubal,54,F,Ciclyn,Casado(a)
2023-01-05,Fitness Hut,Gondomar,56,F,Musculação,Viúvo(a)
2023-01-05,Fitness Hut,Gondomar,46,M,Musculação,Casado(a)
2023-01-05,Fitness Hut,Gondomar,47,M,Musculação,Solteiro(a)
2023-01-05,Fitness Hut,Gondomar,57,F,Yoga,Solteiro(a)
2023-01-06,Fitness Hut,Gondomar,47,M,Musculação,Solteiro(a)
2023-01-06,Fitness Hut,Matosinhos,48,M,Yoga,Solteiro(a)
2023-01-06,Fitness Hut,Matosinhos,41,F,Musculação,Casado(a)
2023-01-06,Fitness Hut,Setubal,46,F,Ciclyn,Casado(a)
2023-01-06,Fitness Hut,Matosinhos,39,M,Yoga,Solteiro(a)
2023-01-06,Fitness Hut,Matosinhos,36,M,Yoga,Viúvo(a)
2023-01-07,Fitness Hut,Gondomar,60,F,Ciclyn,Divorciado(a)
2023-01-07,Fitness Hut,Espinho,62,F,Musculação,Solteiro(a)
2023-01-07,Fitness Hut,Espinho,44,F,Ciclyn,Casado(a)
2023-01-07,Fitness Hut,Espinho,48,M,Musculação,Viúvo(a)
2023-01-07,Fitness Hut,Matosinhos,64,M,Musculação,Solteiro(a)
2023-01-08,Fitness Hut,Espinho,38,F,Ciclyn,Solteiro(a)
2023-01-08,Fitness Hut,Matosinhos,60,F,Ciclyn,Solteiro(a)
2023-01-08,Fitness Hut,Gondomar,55,F,Musculação,Casado(a)
2023-01-08,Fitness Hut,Setubal,36,M,Musculação,Solteiro(a)
2023-01-08,Fitness Hut,Setubal,50,M,Musculação,Solteiro(a)
2023-01-08,Fitness Hut,Matosinhos,53,F,Musculação,Solteiro(a)
2023-01-09,Fitness Hut,Setubal,46,M,Ciclyn,Solteiro(a)
2023-01-09,Fitness Hut,Matosinhos,58,F,Yoga,Solteiro(a)
2023-01-09,Fitness Hut,Espinho,39,F,Musculação,Casado(a)
2023-01-10,Fitness Hut,Setubal,36,F,Ciclyn,Solteiro(a)
2023-01-10,Fitness Hut,Setubal,48,F,Yoga,Viúvo(a)
2023-01-10,Fitness Hut,Matosinhos,50,F,Yoga,Casado(a)
2023-01-10,Fitness Hut,Setubal,50,F,Yoga,Casado(a)
2023-01-10,Fitness Hut,Matosinhos,59,M,Musculação,Viúvo(a)
2023-01-11,Fitness Hut,Gondomar,53,F,Musculação,Casado(a)
2023-01-11,Fitness Hut,Gondomar,60,M,Ciclyn,Casado(a)
2023-01-11,Fitness Hut,Espinho,53,F,Yoga,Solteiro(a)
2023-01-11,Fitness Hut,Matosinhos,64,F,Ciclyn,Divorciado(a)
2023-01-11,Fitness Hut,Setubal,37,F,Musculação,Viúvo(a)
2023-01-11,Fitness Hut,Espinho,38,F,Musculação,Casado(a)
2023-01-11,Fitness Hut,Espinho,62,F,Ciclyn,Solteiro(a)
2023-01-11,Fitness Hut,Espinho,58,F,Musculação,Solteiro(a)
2023-01-11,Fitness Hut,Setubal,40,M,Yoga,Casado(a)
2023-01-11,Fitness Hut,Matosinhos,56,M,Ciclyn,Solteiro(a)
2023-01-12,Fitness Hut,Matosinhos,58,F,Yoga,Viúvo(a)
2023-01-12,Fitness Hut,Espinho,45,M,Yoga,Solteiro(a)
2023-01-12,Fitness Hut,Espinho,44,F,Ciclyn,Solteiro(a)
2023-01-12,Fitness Hut,Matosinhos,37,F,Musculação,Casado(a)
2023-01-12,Fitness Hut,Setubal,35,F,Musculação,Casado(a)
2023-01-12,Fitness Hut,Matosinhos,62,M,Ciclyn,Casado(a)
2023-01-12,Fitness Hut,Espinho,44,F,Ciclyn,Viúvo(a)
2023-01-12,Fitness Hut,Gondomar,49,F,Yoga,Casado(a)
2023-01-12,Fitness Hut,Setubal,46,F,Yoga,Casado(a)
2023-01-12,Fitness Hut,Matosinhos,41,M,Ciclyn,Solteiro(a)
2023-01-13,Fitness Hut,Matosinhos,60,M,Yoga,Viúvo(a)
2023-01-13,Fitness Hut,Setubal,35,F,Musculação,Viúvo(a)
2023-01-13,Fitness Hut,Matosinhos,54,F,Ciclyn,Casado(a)
2023-01-13,Fitness Hut,Espinho,43,F,Ciclyn,Viúvo(a)
2023-01-14,Fitness Hut,Setubal,63,M,Yoga,Casado(a)
2023-01-14,Fitness Hut,Setubal,48,M,Musculação,Solteiro(a)
2023-01-14,Fitness Hut,Espinho,60,F,Musculação,Solteiro(a)
2023-01-14,Fitness Hut,Setubal,61,F,Ciclyn,Viúvo(a)
2023-01-14,Fitness Hut,Gondomar,52,F,Ciclyn,Casado(a)
2023-01-14,Fitness Hut,Setubal,55,M,Yoga,Casado(a)
2023-01-14,Fitness Hut,Gondomar,45,F,Yoga,Casado(a)
2023-01-14,Fitness Hut,Matosinhos,57,M,Ciclyn,Casado(a)
2023-01-15,Fitness Hut,Setubal,52,M,Yoga,Viúvo(a)
2023-01-15,Fitness Hut,Espinho,39,F,Ciclyn,Casado(a)
2023-01-15,Fitness Hut,Matosinhos,50,M,Musculação,Casado(a)
2023-01-15,Fitness Hut,Setubal,58,M,Ciclyn,Casado(a)
2023-01-15,Fitness Hut,Gondomar,54,F,Yoga,Solteiro(a)
2023-01-16,Fitness Hut,Setubal,58,F,Ciclyn,Solteiro(a)
2023-01-16,Fitness Hut,Matosinhos,57,F,Musculação,Solteiro(a)
