Data de Inscrição,Nome da Academia,Cidade,Idade do Inscrito,Sexo,Esporte,Status Civil
2023-01-01,Fitness Up,Espinho,27,F,Yoga,Casado(a)
2023-01-01,Fitness Up,Espinho,18,F,Ciclyn,Solteiro(a)
2023-01-01,Fitness Up,Gondomar,19,M,Ciclyn,Solteiro(a)
2023-01-01,Fitness Up,Espinho,33,M,Ciclyn,Solteiro(a)
2023-01-01,Fitness Up,Gondomar,23,F,Ciclyn,Casado(a)
2023-01-01,Fitness Up,Espinho,30,F,Yoga,Solteiro(a)
2023-01-01,Fitness Up,Matosinhos,20,F,Ciclyn,Solteiro(a)
2023-01-01,Fitness Up,Espinho,31,M,Yoga,Solteiro(a)
2023-01-01,Fitness Up,Setubal,24,F,Yoga,Solteiro(a)
2023-01-02,Fitness Up,Matosinhos,23,F,Ciclyn,Viúvo(a)
2023-01-02,Fitness Up,Espinho,20,M,Ciclyn,Viúvo(a)
2023-01-02,Fitness Up,Gondomar,28,M,Yoga,Solteiro(a)
2023-01-02,Fitness Up,Matosinhos,23,F,Ciclyn,Casado(a)
2023-01-02,Fitness Up,Setubal,22,F,Yoga,Casado(a)
2023-01-03,Fitness Up,Setubal,30,F,Yoga,Solteiro(a)
2023-01-03,Fitness Up,Setubal,34,F,Musculação,Solteiro(a)
2023-01-03,Fitness Up,Setubal,34,F,Musculação,Solteiro(a)
2023-01-03,Fitness Up,Gondomar,34,M,Yoga,Solteiro(a)
2023-01-03,Fitness Up,Gondomar,33,F,Yoga,Divorciado(a)
2023-01-03,Fitness Up,Espinho,20,F,Musculação,Divorciado(a)
2023-01-04,Fitness Up,Gondomar,22,F,Yoga,Viúvo(a)
2023-01-04,Fitness Up,Gondomar,28,F,Ciclyn,Divorciado(a)
2023-01-04,Fitness Up,Matosinhos,21,F,Musculação,Solteiro(a)
2023-01-04,Fitness Up,Matosinhos,31,F,Musculação,Solteiro(a)
2023-01-04,Fitness Up,Espinho,22,F,Ciclyn,Solteiro(a)
2023-01-05,Fitness Up,Gondomar,21,M,Musculação,Solteiro(a)
2023-01-05,Fitness Up,Matosinhos,27,M,Ciclyn,Viúvo(a)
2023-01-05,Fitness Up,Espinho,18,F,Ciclyn,Casado(a)
2023-01-05,Fitness Up,Matosinhos,34,F,Ciclyn,Divorciado(a)
2023-01-05,Fitness Up,Espinho,19,F,Musculação,Casado(a)
2023-01-05,Fitness Up,Gondomar,18,F,Ciclyn,Solteiro(a)
2023-01-05,Fitness Up,Matosinhos,25,F,Ciclyn,Solteiro(a)
2023-01-06,Fitness Up,Matosinhos,32,M,Ciclyn,Casado(a)
2023-01-06,Fitness Up,Setubal,26,M,Ciclyn,Divorciado(a)
2023-01-06,Fitness Up,Espinho,21,F,Musculação,Solteiro(a)
2023-01-06,Fitness Up,Setubal,20,M,Musculação,Divorciado(a)
2023-01-06,Fitness Up,Setubal,33,F,Ciclyn,Casado(a)
2023-01-06,Fitness Up,Espinho,27,F,Yoga,Viúvo(a)
2023-01-07,Fitness Up,Matosinhos,29,M,Musculação,Casado(a)
2023-01-07,Fitness Up,Gondomar,27,M,Yoga,Casado(a)
2023-01-07,Fitness Up,Matosinhos,31,F,Ciclyn,Casado(a)
2023-01-07,Fitness Up,Espinho,33,F,Yoga,Solteiro(a)
2023-01-07,Fitness Up,Espinho,22,M,Musculação,Viúvo(a)
