Data de Inscrição,Nome da Academia,Cidade,Idade do Inscrito,Sexo,Esporte,Status Civil
2023-01-01,Gym Trend,Setubal,47,M,Yoga,Casado(a)
2023-01-01,Gym Trend,Setubal,34,F,Musculação,Casado(a)
2023-01-01,Gym Trend,Gondomar,47,F,Yoga,Solteiro(a)
2023-01-02,Gym Trend,Matosinhos,47,M,Musculação,Casado(a)
2023-01-02,Gym Trend,Matosinhos,37,F,Ciclyn,Solteiro(a)
2023-01-02,Gym Trend,Setubal,39,M,Ciclyn,Solteiro(a)
2023-01-03,Gym Trend,Gondomar,47,M,Musculação,Divorciado(a)
2023-01-03,Gym Trend,Gondomar,46,M,Ciclyn,Casado(a)
2023-01-03,Gym Trend,Setubal,33,M,Ciclyn,Casado(a)
2023-01-03,Gym Trend,Setubal,44,F,Yoga,Solteiro(a)
2023-01-03,Gym Trend,Gondomar,32,M,Ciclyn,Solteiro(a)
2023-01-03,Gym Trend,Gondomar,46,F,Yoga,Casado(a)
2023-01-03,Gym Trend,Matosinhos,43,F,Musculação,Casado(a)
2023-01-03,Gym Trend,Setubal,26,M,Ciclyn,Casado(a)
2023-01-03,Gym Trend,Setubal,46,F,Yoga,Divorciado(a)
2023-01-03,Gym Trend,Setubal,26,M,Yoga,Casado(a)
2023-01-04,Gym Trend,Espinho,43,M,Yoga,Solteiro(a)
2023-01-04,Gym Trend,Setubal,34,F,Musculação,Casado(a)
2023-01-04,Gym Trend,Matosinhos,29,M,Yoga,Casado(a)
2023-01-04,Gym Trend,Espinho,40,F,Yoga,Solteiro(a)
2023-01-04,Gym Trend,Gondomar,44,M,Ciclyn,Casado(a)
2023-01-04,Gym Trend,Setubal,25,M,Musculação,Casado(a)
2023-01-04,Gym Trend,Setubal,46,F,Yoga,Solteiro(a)
2023-01-05,Gym Trend,Matosinhos,25,F,Musculação,Solteiro(a)
2023-01-05,Gym Trend,Setubal,40,M,Yoga,Casado(a)
2023-01-05,Gym Trend,Espinho,38,F,Musculação,Casado(a)
2023-01-05,Gym Trend,Setubal,28,F,Yoga,Solteiro(a)
2023-01-05,Gym Trend,Espinho,33,M,Musculação,Solteiro(a)
2023-01-05,Gym Trend,Matosinhos,29,F,Yoga,Casado(a)
2023-01-06,Gym Trend,Setubal,29,F,Yoga,Casado(a)
2023-01-06,Gym Trend,Gondomar,49,F,Ciclyn,Viúvo(a)
2023-01-06,Gym Trend,Espinho,43,M,Yoga,Casado(a)
2023-01-06,Gym Trend,Gondomar,29,M,Musculação,Solteiro(a)
2023-01-06,Gym Trend,Gondomar,48,F,Ciclyn,Viúvo(a)
2023-01-06,Gym Trend,Setubal,33,M,Yoga,Solteiro(a)
2023-01-07,Gym Trend,Setubal,34,F,Yoga,Solteiro(a)
2023-01-07,Gym Trend,Setubal,37,M,Ciclyn,Casado(a)
2023-01-07,Gym Trend,Setubal,35,M,Yoga,Viúvo(a)
2023-01-07,Gym Trend,Matosinhos,40,F,Ciclyn,Viúvo(a)
2023-01-07,Gym Trend,Setubal,42,F,Yoga,Solteiro(a)
2023-01-07,Gym Trend,Gondomar,26,F,Ciclyn,Solteiro(a)
2023-01-07,Gym Trend,Espinho,32,F,Ciclyn,Solteiro(a)
2023-01-07,Gym Trend,Matosinhos,43,F,Ciclyn,Casado(a)
