Data de Inscrição,Nome da Academia,Cidade,Idade do Inscrito,Sexo,Esporte,Status Civil
2023-01-01,Power Girls,Gondomar,64,F,Musculação,Divorciado(a)
2023-01-01,Power Girls,Matosinhos,38,F,Yoga,Divorciado(a)
2023-01-01,Power Girls,Matosinhos,36,F,Musculação,Solteiro(a)
2023-01-01,Power Girls,Setubal,45,F,Ciclyn,Solteiro(a)
2023-01-01,Power Girls,Matosinhos,44,M,Musculação,Divorciado(a)
2023-01-01,Power Girls,Setubal,49,M,Ciclyn,Solteiro(a)
2023-01-01,Power Girls,Gondomar,52,F,Musculação,Solteiro(a)
2023-01-01,Power Girls,Espinho,36,M,Yoga,Solteiro(a)
2023-01-01,Power Girls,Gondomar,38,F,Musculação,Solteiro(a)
2023-01-02,Power Girls,Espinho,55,F,Musculação,Solteiro(a)
2023-01-02,Power Girls,Matosinhos,38,M,Ciclyn,Solteiro(a)
2023-01-02,Power Girls,Setubal,53,F,Yoga,Solteiro(a)
2023-01-02,Power Girls,Matosinhos,62,M,Yoga,Casado(a)
2023-01-02,Power Girls,Matosinhos,58,F,Ciclyn,Casado(a)
2023-01-02,Power Girls,Matosinhos,49,F,Yoga,Solteiro(a)
2023-01-02,Power Girls,Matosinhos,62,M,Musculação,Casado(a)
2023-01-02,Power Girls,Matosinhos,57,F,Musculação,Casado(a)
2023-01-03,Power Girls,Espinho,47,F,Yoga,Casado(a)
2023-01-03,Power Girls,Espinho,38,M,Musculação,Casado(a)
2023-01-03,Power Girls,Matosinhos,37,F,Musculação,Casado(a)
2023-01-03,Power Girls,Setubal,37,M,Musculação,Casado(a)
2023-01-03,Power Girls,Gondomar,42,F,Yoga,Solteiro(a)
2023-01-03,Power Girls,Espinho,59,F,Yoga,Solteiro(a)
2023-01-03,Power Girls,Espinho,56,F,Yoga,Solteiro(a)
2023-01-03,Power Girls,Matosinhos,37,M,Musculação,Casado(a)
2023-01-03,Power Girls,Gondomar,36,F,Ciclyn,Casado(a)
