Data de Inscrição,Nome da Academia,Cidade,Idade do Inscrito,Sexo,Esporte,Status Civil
2023-01-01,Spotters,Gondomar,36,F,Musculação,Solteiro(a)
2023-01-01,Spotters,Espinho,25,M,Ciclyn,Solteiro(a)
2023-01-01,Spotters,Matosinhos,39,F,Musculação,Casado(a)
2023-01-02,Spotters,Matosinhos,30,F,Musculação,Solteiro(a)
2023-01-02,Spotters,Matosinhos,46,M,Ciclyn,Viúvo(a)
2023-01-02,Spotters,Gondomar,45,F,Musculação,Divorciado(a)
2023-01-02,Spotters,Gondomar,25,F,Musculação,Casado(a)
2023-01-02,Spotters,Gondomar,37,F,Yoga,Casado(a)
2023-01-02,Spotters,Gondomar,44,M,Ciclyn,Casado(a)
2023-01-02,Spotters,Setubal,27,F,Musculação,Viúvo(a)
2023-01-03,Spotters,Gondomar,25,M,Musculação,Divorciado(a)
2023-01-03,Spotters,Gondomar,33,M,Yoga,Viúvo(a)
2023-01-03,Spotters,Gondomar,31,M,Musculação,Solteiro(a)
2023-01-03,Spotters,Espinho,30,M,Ciclyn,Casado(a)
2023-01-03,Spotters,Setubal,28,F,Musculação,Divorciado(a)
2023-01-03,Spotters,Matosinhos,42,M,Yoga,Casado(a)
2023-01-04,Spotters,Espinho,49,M,Musculação,Casado(a)
2023-01-04,Spotters,Gondomar,43,F,Ciclyn,Solteiro(a)
2023-01-04,Spotters,Matosinhos,40,M,Ciclyn,Solteiro(a)
2023-01-04,Spotters,Setubal,29,F,Ciclyn,Viúvo(a)
2023-01-04,Spotters,Matosinhos,47,F,Ciclyn,Casado(a)
2023-01-04,Spotters,Espinho,39,F,Musculação,Solteiro(a)
2023-01-04,Spotters,Setubal,39,F,Musculação,Casado(a)
2023-01-04,Spotters,Setubal,43,M,Yoga,Casado(a)
2023-01-04,Spotters,Gondomar,41,M,Yoga,Viúvo(a)
2023-01-05,Spotters,Espinho,40,F,Yoga,Solteiro(a)
2023-01-05,Spotters,Gondomar,47,F,Yoga,Casado(a)
2023-01-05,Spotters,Espinho,34,M,Ciclyn,Viúvo(a)
2023-01-05,Spotters,Espinho,42,F,Musculação,Casado(a)
2023-01-05,Spotters,Espinho,31,M,Yoga,Solteiro(a)
2023-01-06,Spotters,Matosinhos,34,M,Ciclyn,Casado(a)
2023-01-06,Spotters,Setubal,35,M,Musculação,Solteiro(a)
2023-01-06,Spotters,Matosinhos,27,F,Yoga,Casado(a)
2023-01-06,Spotters,Gondomar,36,F,Yoga,Solteiro(a)
2023-01-06,Spotters,Gondomar,37,F,Musculação,Casado(a)
2023-01-06,Spotters,Matosinhos,34,M,Musculação,Divorciado(a)
2023-01-06,Spotters,Gondomar,42,F,Musculação,Casado(a)
2023-01-07,Spotters,Matosinhos,25,M,Musculação,Casado(a)
2023-01-07,Spotters,Gondomar,37,F,Ciclyn,Solteiro(a)
2023-01-07,Spotters,Espinho,45,M,Musculação,Casado(a)
2023-01-07,Spotters,Gondomar,29,F,Ciclyn,Divorciado(a)
2023-01-07,Spotters,Espinho,26,M,Musculação,Casado(a)
2023-01-07,Spotters,Matosinhos,49,F,Ciclyn,Viúvo(a)
2023-01-07,Spotters,Matosinhos,38,M,Musculação,Solteiro(a)
2023-01-08,Spotters,Espinho,37,M,Musculação,Solteiro(a)
2023-01-08,Spotters,Espinho,28,M,Yoga,Solteiro(a)
